Time,Sensor,Steps
20.93366813659668,700,29
20.983473539352417,697,29
21.03366446495056,701,29
21.083492040634155,700,29
21.13395595550537,700,29
21.183480978012085,701,29
21.233649730682373,700,29
21.283497095108032,699,29
21.333680629730225,701,29
21.38347029685974,700,29
21.43366241455078,700,29
21.483482837677002,698,29
21.533682584762573,700,29
21.583476781845093,698,29
21.63364863395691,697,29
21.68349027633667,696,29
21.73368000984192,696,29
21.78351140022278,695,29
21.833688735961914,694,29
21.883512020111084,693,29
21.93370270729065,692,29
21.98348903656006,691,29
22.033698081970215,686,29
22.083487033843994,686,29
22.133974075317383,682,29
22.18350338935852,680,29
22.233681201934814,676,29
22.283467054367065,673,29
22.33366107940674,667,29
22.38349199295044,662,29
22.433674812316895,661,29
22.4834988117218,659,29
22.533682346343994,660,29
22.58350706100464,657,30
22.63369846343994,656,30
22.683494806289673,653,30
22.733675718307495,651,30
22.78343439102173,650,31
22.83361268043518,641,31
22.88346242904663,641,31
22.93366813659668,640,32
22.983442544937134,635,32
23.03361701965332,636,32
23.083504915237427,637,33
23.133957386016846,635,33
23.183496236801147,629,34
23.233683586120605,620,34
23.283508777618408,603,35
23.33368945121765,593,35
23.3834969997406,583,36
23.433678150177002,572,37
23.48348331451416,571,38
23.533696174621582,579,38
23.58351755142212,596,39
23.6336932182312,617,40
23.683488368988037,633,40
23.73367190361023,647,41
23.783493280410767,659,41
23.833680152893066,669,42
23.88349723815918,683,42
23.933687686920166,692,42
23.983516693115234,699,43
24.03371024131775,704,43
24.08350944519043,709,43
24.134015321731567,713,43
24.183512449264526,713,43
24.23368740081787,722,44
24.283506393432617,729,44
24.333690404891968,733,44
24.383509874343872,737,44
24.433690786361694,742,44
24.483458280563354,742,44
24.53367519378662,749,45
24.583461046218872,749,45
24.633641004562378,752,45
24.683431148529053,755,45
24.733630180358887,756,45
24.783513069152832,757,45
24.83369207382202,759,45
24.883503198623657,760,45
24.933696508407593,759,45
24.983500003814697,761,45
25.03369450569153,761,45
25.083513259887695,758,45
25.133996963500977,760,45
25.183527946472168,760,45
25.233712434768677,761,45
25.28354811668396,760,45
25.333741664886475,761,45
25.383533716201782,761,45
25.43371319770813,760,45
25.48350167274475,757,45
25.533684492111206,755,45
25.583528757095337,751,45
25.633774518966675,750,44
25.683513402938843,750,44
25.73369002342224,746,44
25.783547163009644,745,44
25.83372473716736,739,44
25.883503675460815,739,44
25.933743238449097,736,44
25.983515739440918,733,44
26.03370499610901,732,44
26.083516120910645,732,44
26.13397479057312,728,44
26.183532238006592,727,44
26.23371982574463,726,43
